     Angle, Det1Disc1,
     42.85,        24,
      42.9,        35,
     42.95,        26,
        43,        31,
     43.05,        21,
      43.1,        27,
     43.15,        18,
      43.2,        38,
     43.25,        21,
      43.3,        29,
     43.35,        21,
      43.4,        28,
     43.45,        22,
      43.5,        27,
     43.55,        34,
      43.6,        17,
     43.65,        23,
      43.7,        29,
     43.75,        23,
      43.8,        24,
     43.85,        20,
      43.9,        21,
     43.95,        28,
        44,        18,
     44.05,        33,
      44.1,        23,
     44.15,        23,
      44.2,        25,
     44.25,        27,
      44.3,        34,
     44.35,        30,
      44.4,        26,
     44.45,        19,
      44.5,        25,
     44.55,        36,
      44.6,        25,
     44.65,        22,
      44.7,        20,
     44.75,        23,
      44.8,        23,
     44.85,        29,
      44.9,        24,
     44.95,        31,
        45,        20,
     45.05,        26,
      45.1,        20,
     45.15,        27,
      45.2,        22,
     45.25,        27,
      45.3,        22,
     45.35,        28,
      45.4,        28,
     45.45,        23,
      45.5,        23,
     45.55,        20,
      45.6,        27,
     45.65,        26,
      45.7,        22,
     45.75,        19,
      45.8,        18,
     45.85,        23,
      45.9,        18,
     45.95,        29,
        46,        18,
     46.05,        20,
      46.1,        26,
     46.15,        17,
      46.2,        19,
     46.25,        26,
      46.3,        23,
     46.35,        23,
      46.4,        22,
     46.45,        20,
      46.5,        23,
     46.55,        19,
      46.6,        27,
     46.65,        23,
      46.7,        25,
     46.75,        24,
      46.8,        17,
     46.85,        16,
      46.9,        20,
     46.95,        18,
        47,        19,
     47.05,        18,
      47.1,        30,
     47.15,        24,
      47.2,        19,
     47.25,        28,
      47.3,        33,
     47.35,        20,
      47.4,        27,
     47.45,        20,
      47.5,        26,
     47.55,        21,
      47.6,        17,
     47.65,        23,
      47.7,        22,
     47.75,        33,
      47.8,        55,
     47.85,        56,
      47.9,        73,
     47.95,       142,
        48,       333,
     48.05,       557,
      48.1,       555,
     48.15,       402,
      48.2,       352,
     48.25,       189,
      48.3,        79,
     48.35,        57,
      48.4,        31,
     48.45,        27,
      48.5,        26,
     48.55,        29,
      48.6,        18,
     48.65,        32,
      48.7,        32,
     48.75,        20,
      48.8,        18,
     48.85,        15,
      48.9,        26,
     48.95,        20,
        49,        19,
     49.05,        22,
      49.1,        22,
     49.15,        17,
      49.2,        21,
     49.25,        18,
      49.3,        27,
     49.35,        19,
      49.4,        15,
     49.45,        23,
      49.5,        28,
     49.55,        21,
      49.6,        17,
     49.65,        15,
      49.7,        15,
     49.75,        12,
      49.8,        12,
     49.85,        23,
      49.9,        20,
     49.95,        15,
        50,        17,
     50.05,        13,
      50.1,        29,
     50.15,        14,
      50.2,        18,
     50.25,        20,
      50.3,        23,
     50.35,        19,
      50.4,        14,
     50.45,        17,
      50.5,        14,
     50.55,        20,
      50.6,        24,
     50.65,        18,
      50.7,        13,
     50.75,        24,
      50.8,        23,
     50.85,        15,
      50.9,        17,
     50.95,        12,
        51,        22,
     51.05,        17,
      51.1,        17,
     51.15,        11,
      51.2,        17,
     51.25,        23,
      51.3,        12,
     51.35,        19,
      51.4,        20,
     51.45,        14,
      51.5,        14,
     51.55,        18,
      51.6,        16,
     51.65,        16,
      51.7,        14,
     51.75,        25,
      51.8,        18,
     51.85,        29,
      51.9,        23,
     51.95,        18,
        52,        19,
     52.05,        23,
      52.1,        11,
     52.15,        17,
      52.2,         7,
     52.25,        15,
      52.3,        15,
     52.35,        16,
      52.4,        18,
     52.45,        18,
      52.5,        21,
     52.55,        16,
      52.6,        16,
     52.65,        14,
      52.7,        25,
     52.75,        17,
      52.8,         9,
     52.85,        18,
      52.9,        29,
     52.95,        15,
        53,        20,
     53.05,        19,
      53.1,        22,
     53.15,        17,
      53.2,        18,
     53.25,        18,
      53.3,        24,
     53.35,        20,
      53.4,        22,
     53.45,        21,
      53.5,        24,
     53.55,        25,
      53.6,        25,
     53.65,        37,
      53.7,        34,
     53.75,        63,
      53.8,       124,
     53.85,       221,
      53.9,       399,
     53.95,       311,
        54,       228,
     54.05,       250,
      54.1,       145,
     54.15,        63,
      54.2,        58,
     54.25,        39,
      54.3,        36,
     54.35,        36,
      54.4,        29,
     54.45,        26,
      54.5,        27,
     54.55,        21,
      54.6,        27,
     54.65,        27,
      54.7,        26,
     54.75,        20,
      54.8,        35,
     54.85,        41,
      54.9,        40,
     54.95,        75,
        55,       143,
     55.05,       305,
      55.1,       361,
     55.15,       247,
      55.2,       229,
     55.25,       191,
      55.3,       127,
     55.35,        50,
      55.4,        42,
     55.45,        27,
      55.5,        24,
     55.55,        29,
      55.6,        18,
     55.65,        19,
      55.7,        18,
     55.75,        16,
      55.8,        23,
     55.85,        19,
      55.9,        26,
     55.95,        18,
        56,        17,
     56.05,        20,
      56.1,        19,
     56.15,        17,
      56.2,        22,
     56.25,        17,
      56.3,        16,
